227,245,718,843,910,652
983,934,875,880,916,993
409,844,767,820,887,992
983,927,831,838,862,540
797,798,648,774,906,988
798,787,599,745,871,488
886,908,811,848,861,522
483,390,758,847,891,842
477,392,754,844,888,836
935,787,678,811,835,850
983,929,861,876,914,992
436,429,703,782,907,857
214,745,693,787,879,987
892,901,783,825,847,486
959,860,732,769,797,934
896,834,689,859,875,630
987,938,858,869,884,568
778,606,707,825,821,516
892,883,756,802,827,452
935,802,733,734,777,824
385,813,751,844,879,987
272,338,711,845,909,405
794,613,752,849,875,498
612,564,717,810,823,436
810,838,761,853,887,635
951,798,781,845,862,553
902,884,757,803,828,447
306,371,710,836,913,590
788,775,680,786,902,987
623,485,742,846,874,608
901,899,779,822,844,477
854,768,618,843,717,329
949,796,762,791,904,460
221,318,704,829,914,640
949,791,724,832,846,536
799,774,678,736,784,576
897,898,798,838,851,493
953,805,796,851,867,564
903,862,755,856,811,601
301,818,745,809,883,992
957,833,707,744,772,929
983,925,826,834,858,551
385,826,729,779,879,992
889,896,794,834,848,484
936,797,747,826,851,854
981,921,850,854,906,992
148,852,658,730,813,965
317,863,617,759,891,966
987,940,862,872,887,580
284,790,653,721,752,937
983,928,855,874,913,992
453,434,740,838,913,673
807,822,718,794,878,517
184,739,692,808,809,986
958,835,713,746,776,933
901,896,794,834,848,484
885,849,681,767,871,622
896,907,808,846,860,509
982,922,830,855,906,991
283,790,654,721,753,937
935,802,697,767,899,839
428,450,709,801,798,591
780,751,646,815,849,986
346,876,711,792,883,968
984,935,869,883,918,992
946,803,620,731,856,479
958,842,661,701,754,933
464,384,719,774,859,830
211,305,712,838,905,607
898,886,762,807,832,454
984,925,824,832,856,489
886,860,762,876,875,642
953,796,795,862,919,599
652,518,720,841,908,425
942,813,785,855,915,865
354,876,721,799,895,967
796,815,702,843,906,988
586,460,725,846,875,626
988,936,858,867,883,554
779,751,645,815,850,986
949,803,741,831,822,389
987,941,865,874,889,570
938,863,748,804,869,516
959,835,709,747,776,932
383,332,741,848,911,659
905,876,776,878,874,645
367,799,723,819,820,986
472,384,727,786,866,839
393,817,759,848,886,988
633,581,746,845,918,590
958,858,731,767,794,931
285,341,719,849,914,484
985,928,831,838,862,501
356,305,738,848,914,795
805,832,750,835,820,595
811,816,695,750,791,581
417,851,776,823,891,993
792,808,682,824,855,987
347,877,713,794,882,967
340,872,693,753,822,966
386,350,725,793,911,953
284,790,653,721,752,937
791,610,715,782,850,535
768,732,602,805,814,984
947,794,739,723,758,312
378,323,739,848,911,618
236,746,678,744,871,991
983,930,850,867,913,992
987,940,862,872,887,613
985,933,842,851,872,531
257,271,737,852,916,954
796,779,671,781,878,502
295,814,760,807,882,993
959,859,735,768,796,934
350,876,722,799,893,967
244,753,689,750,874,992
796,792,716,818,772,425
406,409,726,835,852,456
790,790,630,761,899,986
986,937,857,867,883,569
953,802,803,862,915,520
385,819,718,779,880,992
935,793,731,781,902,842
771,702,536,732,894,985
984,926,828,835,860,493
